date,day_type,kcal,protein_g,carbs_g,fat_g,intra_cho_g_per_h
2026-01-05,HARD,2760,115,504,31,75
2026-01-06,MODERATE,2460,115,360,62,30
2026-01-07,MODERATE,2460,115,360,62,30
2026-01-08,EASY,2160,115,288,61,0
2026-01-09,MODERATE,2460,115,360,62,30
2026-01-10,HARD,2760,115,504,31,75
2026-01-11,HARD,2760,115,504,31,75
2026-01-12,EASY,2160,115,288,61,0
2026-01-12,MODERATE,2460,115,360,62,60
2026-01-13,HARD,2760,115,504,31,75
2026-01-13,EASY,2160,115,288,61,0
2026-01-14,EASY,2160,115,288,61,0
2026-01-14,MODERATE,2460,115,360,62,60
2026-01-15,HARD,2760,115,504,31,75
2026-01-15,EASY,2160,115,288,61,0
2026-01-16,HARD,2760,115,504,31,75
2026-01-17,MODERATE,2460,115,360,62,30
2026-01-18,HARD,2760,115,504,31,60
2026-01-19,EASY,2160,115,288,61,0
2026-01-19,MODERATE,2460,115,360,62,60
2026-01-20,HARD,2760,115,504,31,75
2026-01-20,EASY,2160,115,288,61,0
2026-01-21,EASY,2160,115,288,61,0
2026-01-21,MODERATE,2460,115,360,62,60
2026-01-22,HARD,2760,115,504,31,75
2026-01-22,EASY,2160,115,288,61,0
2026-01-23,HARD,2760,115,504,31,75
2026-01-24,MODERATE,2460,115,360,62,30
2026-01-25,HARD,2760,115,504,31,60
2026-01-26,EASY,2160,115,288,61,0
2026-01-26,MODERATE,2460,115,360,62,60
2026-01-27,HARD,2760,115,504,31,75
2026-01-27,EASY,2160,115,288,61,0
2026-01-28,EASY,2160,115,288,61,0
2026-01-28,MODERATE,2460,115,360,62,60
2026-01-29,HARD,2760,115,504,31,75
2026-01-29,EASY,2160,115,288,61,0
2026-01-30,HARD,2760,115,504,31,75
2026-01-31,MODERATE,2460,115,360,62,30
2026-02-01,HARD,2760,115,504,31,60
2026-02-02,EASY,2160,115,288,61,0
2026-02-02,MODERATE,2460,115,360,62,60
2026-02-03,HARD,2760,115,504,31,75
2026-02-03,EASY,2160,115,288,61,0
2026-02-04,EASY,2160,115,288,61,0
2026-02-04,MODERATE,2460,115,360,62,60
2026-02-05,HARD,2760,115,504,31,75
2026-02-05,EASY,2160,115,288,61,0
2026-02-06,HARD,2760,115,504,31,75
2026-02-07,EASY,2160,115,288,61,0
2026-02-08,HARD,2760,115,504,31,75
2026-02-09,EASY,2160,115,288,61,0
2026-02-09,MODERATE,2460,115,360,62,60
2026-02-10,HARD,2760,115,504,31,75
2026-02-11,HARD,2760,115,504,31,75
2026-02-11,EASY,2160,115,288,61,0
2026-02-12,MODERATE,2460,115,360,62,60
2026-02-13,HARD,2760,115,504,31,75
2026-02-14,EASY,2160,115,288,61,0
